Asteroids
x,y,t
638.620239,156.850021,8.044
637.2405,156.8748,8.059
635.8607,156.899582,8.076
634.480957,156.924362,8.099
633.1012,156.949142,8.112
631.721436,156.973923,8.132
630.3417,156.9987,8.148
628.9619,157.023483,8.167
627.582153,157.048264,8.183
626.2024,157.073044,8.201
624.822632,157.097824,8.219
623.4429,157.1226,8.236
622.0631,157.147385,8.255
620.68335,157.172165,8.272
619.3036,157.196945,8.29
617.9238,157.221725,8.307
616.544067,157.2465,8.326
615.1643,157.271286,8.343
613.784546,157.296066,8.367
612.4048,157.320847,8.379
611.025,157.345627,8.402
609.645264,157.3704,8.414
608.2655,157.395187,8.437
606.885742,157.419968,8.45
605.506,157.444748,8.47
604.1262,157.469528,8.486
602.74646,157.494308,8.503
601.3667,157.519089,8.521
599.986938,157.543869,8.538
598.6072,157.568649,8.557
x,y,t
x,y,t
