Asteroids
x,y,t
1.229192,169.471756,8.113
2.458384,170.099045,8.126
3.687576,170.726334,8.144
4.916768,171.353622,8.162
6.14596033,171.980911,8.18
7.37515259,172.6082,8.197
8.604344,173.235489,8.215
9.833536,173.862778,8.233
11.0627279,174.490067,8.252
12.29192,175.117355,8.269
13.5211115,175.744644,8.287
14.7503033,176.371933,8.305
15.979495,176.999222,8.323
17.2086868,177.626511,8.34
18.43788,178.2538,8.358
19.6670723,178.881088,8.376
20.896265,179.508377,8.394
22.1254578,180.135666,8.412
23.35465,180.762955,8.43
24.5838432,181.390244,8.448
25.813036,182.017532,8.466
27.0422287,182.644821,8.485
28.2714214,183.27211,8.501
29.5006142,183.8994,8.52
30.7298069,184.526688,8.537
31.959,185.153976,8.555
33.18819,185.781265,8.573
34.41738,186.408554,8.591
35.6465721,187.035843,8.609
36.8757629,187.663132,8.627
38.1049538,188.290421,8.645
39.3341446,188.917709,8.663
40.5633354,189.545,8.685
41.7925262,190.172287,8.698
43.0217171,190.799576,8.72
44.2509079,191.426865,8.734
45.4801,192.054153,8.756
46.70929,192.681442,8.77
47.93848,193.308731,8.788
49.16767,193.93602,8.806
50.396862,194.563309,8.823
51.6260529,195.1906,8.842
52.8552437,195.817886,8.859
54.0844345,196.445175,8.877
55.3136253,197.072464,8.895
56.5428162,197.699753,8.913
57.772007,198.327042,8.931
59.0011978,198.95433,8.954
60.23039,199.581619,8.967
61.45958,200.208908,8.985
62.68877,200.8362,9.003
63.91796,201.463486,9.024
65.1471558,202.090775,9.038
66.37635,202.718063,9.056
67.605545,203.345352,9.074
68.83474,203.972641,9.092
70.0639343,204.59993,9.11
71.29313,205.227219,9.128
72.52232,205.8545,9.146
73.75152,206.4818,9.164
74.98071,207.109085,9.184
76.20991,207.736374,9.2
77.4391,208.363663,9.221
78.6683,208.990952,9.235
79.89749,209.61824,9.253
81.1266861,210.245529,9.271
82.35588,210.872818,9.29
83.5850754,211.5001,9.307
84.81427,212.1274,9.325
86.0434647,212.754684,9.343
87.27266,213.381973,9.36
88.5018539,214.009262,9.379
89.73105,214.636551,9.396
90.96024,215.26384,9.414
92.18944,215.891129,9.432
93.41863,216.518417,9.456
94.64783,217.1457,9.468
95.87702,217.773,9.489
97.10622,218.400284,9.504
98.33541,219.027573,9.522
99.5646057,219.654861,9.54
100.7938,220.28215,9.557
102.022995,220.909439,9.575
103.25219,221.536728,9.593
104.481384,222.164017,9.611
105.710579,222.7913,9.629
106.939774,223.4186,9.647
108.168968,224.045883,9.665
109.398163,224.673172,9.683
110.627357,225.300461,9.7
111.856552,225.92775,9.72
113.085747,226.555038,9.736
114.314941,227.182327,9.754
115.544136,227.809616,9.772
116.773331,228.4369,9.79
118.002525,229.0642,9.809
119.23172,229.691483,9.826
120.460915,230.318771,9.844
121.690109,230.94606,9.862
122.919304,231.573349,9.88
124.1485,232.200638,9.898
125.377693,232.827927,9.916
126.606888,233.455215,9.934
127.836082,234.0825,9.954
129.065277,234.7098,9.97
130.294464,235.337082,9.988
131.523651,235.964371,10.006
132.752838,236.59166,10.024
133.982025,237.218948,10.042
135.211212,237.846237,10.06
