x,y,t
0,48,0
0,96,0.018
0,144,0.019
0,192,0.02
0,240,0.02
0,288,0.02
0,336,0.02
0,384,0.02
0,432,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.02
0,480,0.039
0,480,0.039
0,480,0.056
0,480,0.063
0,480,0.082
0,480,0.099
0,480,0.118
0,480,0.135
0,480,0.153
0,480,0.171
0,480,0.188
0,480,0.206
0,480,0.224
0,480,0.242
0,480,0.26
0,480,0.282
0,480,0.296
0,480,0.319
0,480,0.332
0,480,0.35
0,480,0.368
0,480,0.385
0,480,0.403
0,480,0.421
0,480,0.439
0,480,0.457
0,480,0.475
0,480,0.493
0,480,0.511
0,480,0.529
0,480,0.55
0,480,0.565
0,480,0.582
0,480,0.6
0,480,0.618
0,480,0.636
0,480,0.654
0,480,0.672
0,480,0.69
0,480,0.708
0,480,0.726
0,480,0.744
0,480,0.762
0,480,0.78
0,480,0.797
0,480,0.818
0,480,0.833
0,480,0.851
0,480,0.869
0,480,0.887
0,480,0.905
0,480,0.923
0,480,0.941
0,480,0.959
0,480,0.977
0,480,0.995
0,480,1.018
0,480,1.03
0,480,1.049
0,480,1.066
0,480,1.086
0,480,1.102
0,480,1.12
0,480,1.138
0,480,1.156
0,480,1.174
0,480,1.194
0,480,1.21
0,480,1.228
0,480,1.248
0,480,1.264
0,480,1.286
0,480,1.3
0,480,1.318
0,480,1.336
0,480,1.353
0,480,1.372
0,480,1.389
0,480,1.408
0,480,1.425
0,480,1.443
0,480,1.461
0,480,1.479
0,480,1.497
0,480,1.517
0,480,1.533
0,480,1.551
0,480,1.57
0,480,1.587
0,480,1.605
0,480,1.623
0,480,1.641
0,480,1.659
0,480,1.677
0,480,1.695
0,480,1.717
0,480,1.73
0,480,1.75
0,480,1.766
0,480,1.787
0,480,1.802
0,480,1.82
0,480,1.838
0,480,1.856
0,480,1.874
0,480,1.892
0,480,1.91
0,480,1.927
0,480,1.949
0,480,1.965
0,480,1.987
0,480,1.999
0,480,2.018
0,480,2.035
0,480,2.053
0,480,2.071
0,480,2.089
0,480,2.107
0,480,2.125
0,480,2.143
0,480,2.163
0,480,2.179
0,480,2.196
0,480,2.217
0,480,2.232
0,480,2.25
0,480,2.268
0,480,2.286
0,480,2.304
0,480,2.322
0,480,2.34
0,480,2.358
0,480,2.378
0,480,2.394
0,480,2.412
0,480,2.429
0,480,2.449
0,480,2.465
0,480,2.486
0,480,2.501
0,480,2.519
0,480,2.537
0,480,2.555
0,480,2.573
0,480,2.591
0,480,2.609
0,480,2.627
0,480,2.645
0,480,2.662
0,480,2.686
0,480,2.698
0,480,2.717
0,480,2.734
0,480,2.752
0,480,2.77
0,480,2.788
0,480,2.806
0,480,2.824
0,480,2.842
0,480,2.859
0,480,2.878
0,480,2.895
0,480,2.917
0,480,2.931
0,480,2.95
0,480,2.967
0,480,2.985
0,480,3.003
0,480,3.021
0,480,3.039
0,480,3.057
0,480,3.075
0,480,3.093
0,480,3.111
0,480,3.129
0,480,3.152
0,480,3.167
0,480,3.185
0,480,3.2
0,480,3.218
0,480,3.236
0,480,3.254
0,480,3.272
0,480,3.29
0,480,3.308
0,480,3.326
0,480,3.344
0,480,3.361
0,480,3.38
0,480,3.397
0,480,3.417
0,480,3.433
0,480,3.451
0,480,3.469
0,480,3.487
0,480,3.505
0,480,3.523
0,480,3.541
0,480,3.559
0,480,3.577
0,480,3.595
0,480,3.618
0,480,3.63
0,480,3.653
0,480,3.667
0,480,3.685
0,480,3.702
0,480,3.72
0,480,3.738
0,480,3.756
0,480,3.774
0,480,3.792
0,480,3.81
0,480,3.827
0,480,3.846
0,480,3.864
0,480,3.886
0,480,3.899
0,480,3.917
0,480,3.935
0,480,3.954
0,480,3.971
0,480,3.989
0,480,4.007
0,480,4.025
0,480,4.043
0,480,4.061
0,480,4.079
0,480,4.096
0,480,4.117
0,480,4.133
0,480,4.156
0,480,4.168
0,480,4.186
0,480,4.204
0,480,4.222
0,480,4.24
0,480,4.258
0,480,4.276
0,480,4.293
0,480,4.312
0,480,4.33
0,480,4.348
0,480,4.365
0,480,4.385
0,480,4.401
0,480,4.419
0,480,4.437
0,480,4.455
0,480,4.473
0,480,4.491
0,480,4.509
0,480,4.527
0,480,4.547
0,480,4.562
0,480,4.581
0,480,4.598
0,480,4.618
0,480,4.634
0,480,4.653
0,480,4.67
0,480,4.687
0,480,4.706
0,480,4.724
0,480,4.742
0,480,4.759
0,480,4.778
0,480,4.795
0,480,4.818
0,480,4.831
0,480,4.852
0,480,4.867
0,480,4.885
0,480,4.903
0,480,4.921
0,480,4.939
0,480,4.956
0,480,4.975
0,480,4.992
0,480,5.01
0,480,5.028
0,480,5.046
0,480,5.064
0,480,5.086
0,480,5.1
0,480,5.118
0,480,5.136
0,480,5.153
0,480,5.172
0,480,5.189
0,480,5.207
0,480,5.225
0,480,5.243
0,480,5.261
0,480,5.279
0,480,5.297
0,480,5.32
0,480,5.333
0,480,5.355
0,480,5.368
0,480,5.386
0,480,5.404
0,480,5.422
0,480,5.44
0,480,5.458
0,480,5.476
0,480,5.494
0,480,5.512
0,480,5.529
0,480,5.547
0,480,5.565
0,480,5.585
0,480,5.601
0,480,5.619
0,480,5.637
0,480,5.655
0,480,5.673
0,480,5.691
0,480,5.709
0,480,5.727
0,480,5.745
0,480,5.763
0,480,5.781
0,480,5.798
0,480,5.818
0,480,5.834
0,480,5.852
0,480,5.87
0,480,5.888
0,480,5.906
0,480,5.924
0,480,5.942
0,480,5.959
0,480,5.977
0,480,5.995
0,480,6.017
0,480,6.031
0,480,6.052
0,480,6.067
0,480,6.086
0,480,6.103
0,480,6.121
0,480,6.139
0,480,6.156
0,480,6.174
0,480,6.192
0,480,6.21
0,480,6.228
0,480,6.246
0,480,6.264
0,480,6.285
0,480,6.3
0,480,6.318
0,480,6.336
0,480,6.354
0,480,6.371
0,480,6.39
0,480,6.407
0,480,6.425
0,480,6.443
0,480,6.461
0,480,6.479
0,480,6.497
0,480,6.515
0,480,6.533
0,480,6.553
0,480,6.569
0,480,6.587
0,480,6.604
0,480,6.622
0,480,6.64
0,480,6.658
0,480,6.676
0,480,6.694
0,480,6.712
0,480,6.73
0,480,6.748
0,480,6.766
0,480,6.786
0,480,6.801
0,480,6.822
0,480,6.837
0,480,6.855
0,480,6.873
0,480,6.891
0,480,6.909
0,480,6.927
0,480,6.945
0,480,6.963
0,480,6.982
0,480,6.998
0,480,7.021
0,480,7.034
0,480,7.052
0,480,7.07
0,480,7.088
0,480,7.106
0,480,7.124
0,480,7.142
0,480,7.159
0,480,7.179
0,480,7.195
0,480,7.214
0,480,7.231
0,480,7.253
0,480,7.267
0,480,7.286
0,480,7.303
0,480,7.321
0,480,7.339
0,480,7.356
0,480,7.375
0,480,7.392
0,480,7.411
0,480,7.428
0,480,7.446
0,480,7.464
0,480,7.488
0,480,7.5
0,480,7.52
0,480,7.536
0,480,7.556
0,480,7.573
0,480,7.589
0,480,7.607
0,480,7.625
0,480,7.643
0,480,7.661
0,480,7.687
0,480,7.697
0,480,7.715
0,480,7.733
0,480,7.753
0,480,7.771
0,480,7.786
0,480,7.804
0,480,7.822
0,480,7.84
0,480,7.858
0,480,7.876
0,480,7.893
0,480,7.911
0,480,7.929
0,480,7.947
0,480,7.967
0,480,7.984
0,480,8.001
0,480,8.021
0,480,8.037
0,480,8.055
0,480,8.075
0,480,8.09
0,480,8.11
0,480,8.126
0,480,8.144
0,480,8.162
0,480,8.18
0,480,8.197
0,480,8.215
0,480,8.233
0,480,8.252
0,480,8.269
0,480,8.287
0,480,8.305
0,480,8.323
0,480,8.34
0,480,8.358
0,480,8.376
0,480,8.394
0,480,8.412
0,480,8.43
0,480,8.448
0,480,8.466
0,480,8.485
0,480,8.501
0,480,8.52
0,480,8.537
0,480,8.555
0,480,8.573
0,480,8.591
0,480,8.609
0,480,8.627
0,480,8.645
0,480,8.663
0,480,8.685
0,480,8.698
0,480,8.72
0,480,8.734
0,480,8.756
0,480,8.77
0,480,8.788
0,480,8.806
0,480,8.823
0,480,8.842
0,480,8.859
0,480,8.877
0,480,8.895
0,480,8.913
0,480,8.931
0,480,8.954
0,480,8.967
0,480,8.985
0,480,9.003
0,480,9.024
0,480,9.038
0,480,9.056
0,480,9.074
0,480,9.092
0,480,9.11
0,480,9.128
0,480,9.146
0,480,9.164
0,480,9.184
0,480,9.2
0,480,9.221
0,480,9.235
0,480,9.253
0,480,9.271
0,480,9.29
0,480,9.307
0,480,9.325
0,480,9.343
0,480,9.36
0,480,9.379
0,480,9.396
0,480,9.414
0,480,9.432
0,480,9.456
0,480,9.468
0,480,9.489
0,480,9.504
0,480,9.522
0,480,9.54
0,480,9.557
0,480,9.575
0,480,9.593
0,480,9.611
0,480,9.629
0,480,9.647
0,480,9.665
0,480,9.683
0,480,9.7
0,480,9.72
0,480,9.736
0,480,9.754
0,480,9.772
0,480,9.79
0,480,9.809
0,480,9.826
0,480,9.844
0,480,9.862
0,480,9.88
0,480,9.898
0,480,9.916
0,480,9.934
0,480,9.953
0,480,9.97
0,480,9.988
0,480,10.006
0,480,10.024
0,480,10.042
